Name;Street Address;Location;Type;Reviews;No of Reviews;Contact Number;Trip_advisor Url;Menu;Price_Range;City
Betty Lou's Seafood and Grill;318 Columbus Ave;San Francisco, CA 94133-3908; Seafood, Vegetarian Friendly, Vegan Options;4.5;243 reviews;+1 415-757-0569;https://www.tripadvisor.com//Restaurant_Review-g60713-d11862449-Reviews-Betty_Lou_s_Seafood_and_Grill-San_Francisco_California.html;Check The Website for a Menu;$$ - $$$;San Francisco
Coach House Diner;55 State Rt 4;Hackensack, NJ 07601-6337; Diner, American, Vegetarian Friendly;4;84 reviews;+1 201-488-4999;https://www.tripadvisor.com//Restaurant_Review-g46480-d4632054-Reviews-Coach_House_Diner-Hackensack_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Hackensack
Table Talk Diner;2521 South Rd Ste C;Poughkeepsie, NY 12601-5476; American, Diner, Vegetarian Friendly;4;256 reviews;+1 845-849-2839;https://www.tripadvisor.com//Restaurant_Review-g48443-d2105702-Reviews-Table_Talk_Diner-Poughkeepsie_New_York.html;http://tabletalkdiner.com/menu/breakfast/;$$ - $$$;Poughkeepsie
Sixty Vines;3701 Dallas Pkwy;Plano, TX 75093-7777; American, Wine Bar, Vegetarian Friendly;4.5;235 reviews;+1 469-620-8463;https://www.tripadvisor.com//Restaurant_Review-g56463-d10793449-Reviews-Sixty_Vines-Plano_Texas.html;https://sixtyvines.com/menu/plano-tx/;$$ - $$$;Plano
The Clam Bar;3914 Brewerton Rd;Syracuse, NY 13212; American, Bar, Seafood;4;285 reviews;+1 315-458-1662;https://www.tripadvisor.com//Restaurant_Review-g48713-d421575-Reviews-The_Clam_Bar-Syracuse_Finger_Lakes_New_York.html;Check The Website for a Menu;$$ - $$$;Syracuse
E Tutto Qua;270 Columbus Ave;San Francisco, CA 94133-4518; Seafood, Italian, Pizza;4.5;1,406 reviews;+1 415-989-1002;https://www.tripadvisor.com//Restaurant_Review-g60713-d659954-Reviews-E_Tutto_Qua-San_Francisco_California.html;Check The Website for a Menu;$$ - $$$;San Francisco
Black Angus Steakhouse - Federal Way;2400 S 320th St;Federal Way, WA 98003-5465; American, Steakhouse, Bar;4;220 reviews;+1 253-839-8370;https://www.tripadvisor.com//Restaurant_Review-g58471-d1829038-Reviews-Black_Angus_Steakhouse_Federal_Way-Federal_Way_Washington.html;Check The Website for a Menu;$$ - $$$;Federal Way
Ziziki's;11663 Preston Rd;Dallas, TX 75230-2704; Mediterranean, Greek, Healthy;4.5;89 reviews;+1 469-232-9922;https://www.tripadvisor.com//Restaurant_Review-g55711-d1067479-Reviews-Ziziki_s-Dallas_Texas.html;Check The Website for a Menu;$$ - $$$;Dallas
Vince's Italian Restaurant & Pizzeria;2815 NE Sunset Blvd;Renton, WA 98056-3105; Italian, Pizza, Vegetarian Friendly;4;90 reviews;+1 425-226-8180;https://www.tripadvisor.com//Restaurant_Review-g58704-d464246-Reviews-Vince_s_Italian_Restaurant_Pizzeria-Renton_Washington.html;Check The Website for a Menu;$$ - $$$;Renton
John Thomas Steakhouse;1152 Danby Rd;Ithaca, NY 14850-8927; American, Steakhouse, Gluten Free Options;4;258 reviews;+1 607-273-3464;https://www.tripadvisor.com//Restaurant_Review-g47958-d475552-Reviews-John_Thomas_Steakhouse-Ithaca_Finger_Lakes_New_York.html;Check The Website for a Menu;$$$$;Ithaca
ZaZa's Cucina;622 Cascadilla St;Ithaca, NY 14850-4049; Italian, Vegetarian Friendly, Gluten Free Options;4;271 reviews;+1 607-273-9292;https://www.tripadvisor.com//Restaurant_Review-g47958-d475546-Reviews-ZaZa_s_Cucina-Ithaca_Finger_Lakes_New_York.html;Check The Website for a Menu;$$ - $$$;Ithaca
Dulin's Cafe;1929 Main St;Vancouver, WA 98660-2608; Cafe, American, Vegetarian Friendly;4.5;87 reviews;+1 360-737-9907;https://www.tripadvisor.com//Restaurant_Review-g60820-d440680-Reviews-Dulin_s_Cafe-Vancouver_Washington.html;Check The Website for a Menu;$$ - $$$;Vancouver
Wilde Rover Irish Pub & Restaurant;111 Central Way;Kirkland, WA 98033-6107; Irish, Bar, Pub;4;118 reviews;+1 425-822-8940;https://www.tripadvisor.com//Restaurant_Review-g58541-d820538-Reviews-Wilde_Rover_Irish_Pub_Restaurant-Kirkland_Washington.html;Check The Website for a Menu;$$ - $$$;Kirkland
New World Bistro Bar;300 Delaware Ave;Albany, NY 12209-1627; American, Bar, Vegetarian Friendly;4.5;706 reviews;+1 518-694-0520;https://www.tripadvisor.com//Restaurant_Review-g29786-d1515170-Reviews-New_World_Bistro_Bar-Albany_New_York.html;Check The Website for a Menu;$$ - $$$;Albany
Red Eye Cafe;94 Walnut St;Montclair, NJ 07042-3881; American, Cafe, Healthy;4.5;104 reviews;+1 973-509-3663;https://www.tripadvisor.com//Restaurant_Review-g46637-d4283861-Reviews-Red_Eye_Cafe-Montclair_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Montclair
Winberies Princeton;One Palmer Square;Princeton, NJ 08542-3718; American, Bar, Pub;4;314 reviews;+1 609-921-0700;https://www.tripadvisor.com//Restaurant_Review-g46756-d513471-Reviews-Winberies_Princeton-Princeton_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Princeton
Malbec;1001 E Green St;Pasadena, CA 91106-2404; Steakhouse, Latin, Argentinean;4.5;193 reviews;+1 626-683-0550;https://www.tripadvisor.com//Restaurant_Review-g32859-d1072642-Reviews-Malbec-Pasadena_California.html;http://www.malbeccuisine.com/pasadena/lunch-menu;$$$$;Pasadena
Din Tai Fung;700 Bellevue Way NE;Bellevue, WA 98004-5046; Chinese, Asian, Taiwanese;4.5;1,198 reviews;+1 425-698-1095;https://www.tripadvisor.com//Restaurant_Review-g58349-d1948185-Reviews-Din_Tai_Fung-Bellevue_Washington.html;Check The Website for a Menu;$$ - $$$;Bellevue
Ravenous;21 Phila St;Saratoga Springs, NY 12866-3104; Belgian, French, Cafe;4.5;280 reviews;+1 518-581-0560;https://www.tripadvisor.com//Restaurant_Review-g48562-d445377-Reviews-Ravenous-Saratoga_Springs_New_York.html;Check The Website for a Menu;$$ - $$$;Saratoga Springs
Mimi's Cafe;1400 S Harbor Blvd;Anaheim, CA 92802-2311; American, Cajun & Creole, Vegetarian Friendly;4;1,807 reviews;+1 714-956-2223;https://www.tripadvisor.com//Restaurant_Review-g29092-d507253-Reviews-Mimi_s_Cafe-Anaheim_California.html;Check The Website for a Menu;$$ - $$$;Anaheim
La Hacienda Ranch;4110 Preston Rd;Frisco, TX 75034-8508; Steakhouse, Mexican, Vegetarian Friendly;4;642 reviews;+1 972-335-2232;https://www.tripadvisor.com//Restaurant_Review-g55870-d495433-Reviews-La_Hacienda_Ranch-Frisco_Texas.html;Check The Website for a Menu;$$ - $$$;Frisco
Breadsticks Cafe & Grill;1133 Boardwalk;Atlantic City, NJ 08401-7329; American, Vegetarian Friendly, Vegan Options;4;928 reviews;+1 609-340-7800;https://www.tripadvisor.com//Restaurant_Review-g29750-d541345-Reviews-Breadsticks_Cafe_Grill-Atlantic_City_New_Jersey.html;https://resortsac.com/wp-content/uploads/2018/08/Breadsticks_BreakfastMenu_Winter-2017-2018.pdf;$$ - $$$;Atlantic City
Revolve True Food & Wine Bar;10024 Main St;Bothell, WA 98011-3464; Bar, Contemporary, Fusion;4;30 reviews;+1 425-287-6420;https://www.tripadvisor.com//Restaurant_Review-g58362-d11667329-Reviews-Revolve_True_Food_Wine_Bar-Bothell_Washington.html;https://revolvefoodwine.com/menus/;$$ - $$$;Bothell
The Lion's Share;629 Kettner Blvd;San Diego, CA 92101-6718; American, Bar, Gluten Free Options;4.5;179 reviews;+1 619-564-6924;https://www.tripadvisor.com//Restaurant_Review-g60750-d2561877-Reviews-The_Lion_s_Share-San_Diego_California.html;Check The Website for a Menu;$$ - $$$;San Diego
Tilikum Place Cafe;407 Cedar St;Seattle, WA 98121-1519; American, European, Vegetarian Friendly;4.5;746 reviews;+1 206-282-4830;https://www.tripadvisor.com//Restaurant_Review-g60878-d1516303-Reviews-Tilikum_Place_Cafe-Seattle_Washington.html;Check The Website for a Menu;$$ - $$$;Seattle
BV Tuscany Italian Restaurant;368 Cedar Ln;Teaneck, NJ 07666-3411; Italian, Vegetarian Friendly, Gluten Free Options;4.5;119 reviews;+1 201-287-0404;https://www.tripadvisor.com//Restaurant_Review-g46862-d1473658-Reviews-BV_Tuscany_Italian_Restaurant-Teaneck_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Teaneck
The Misfit Restaurant & Bar;225 Santa Monica Blvd;Santa Monica, CA 90401-2207; American, Bar, Contemporary;4.5;829 reviews;310-656-9800;https://www.tripadvisor.com//Restaurant_Review-g33052-d2102042-Reviews-The_Misfit_Restaurant_Bar-Santa_Monica_California.html;Check The Website for a Menu;$$ - $$$;Santa Monica
Beso;11 Schuyler St;Staten Island, NY 10301-1952; Latin, Spanish, Vegetarian Friendly;4.5;515 reviews;+1 718-816-8162;https://www.tripadvisor.com//Restaurant_Review-g48682-d1125099-Reviews-Beso-Staten_Island_New_York.html;Check The Website for a Menu;$$ - $$$;Staten Island
Social 37;2 Route 37 W Unit B2;Toms River, NJ 08753-6588; American, Bar, Gastropub;4;123 reviews;+1 732-202-3737;https://www.tripadvisor.com//Restaurant_Review-g46870-d8419467-Reviews-Social_37-Toms_River_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Toms River
Ristorante Paradiso;120 Park Ln;Kirkland, WA 98033-3717; Italian, Vegetarian Friendly, Gluten Free Options;4.5;189 reviews;+1 425-889-8601;https://www.tripadvisor.com//Restaurant_Review-g58541-d464228-Reviews-Ristorante_Paradiso-Kirkland_Washington.html;Check The Website for a Menu;$$ - $$$;Kirkland
Tabernilla;7124 Bob Bullock Loop;Laredo, TX 78041-2080; Spanish, Mediterranean, Wine Bar;5;39 reviews;+1 956-523-0989;https://www.tripadvisor.com//Restaurant_Review-g56137-d9996191-Reviews-Tabernilla-Laredo_Texas.html;http://www.tabernillalaredo.com#menu;$$ - $$$;Laredo
Buddakan;1 Atlantic Ocean;Atlantic City, NJ 08401-6689; Chinese, Asian, Vegetarian Friendly;4.5;742 reviews;+1 609-674-0100;https://www.tripadvisor.com//Restaurant_Review-g29750-d637123-Reviews-Buddakan-Atlantic_City_New_Jersey.html;Check The Website for a Menu;$$$$;Atlantic City
Hodel's Country Dining;5917 Knudsen Dr;Bakersfield, CA 93308-2946; American, Vegetarian Friendly, Vegan Options;4;264 reviews;+1 661-399-3341;https://www.tripadvisor.com//Restaurant_Review-g32037-d1053094-Reviews-Hodel_s_Country_Dining-Bakersfield_California.html;Check The Website for a Menu;$$ - $$$;Bakersfield
Magic Castle;7001 Franklin Ave;Los Angeles, CA 90028-8600; American, Vegetarian Friendly;4.5;399 reviews;+1 323-851-3313;https://www.tripadvisor.com//Restaurant_Review-g32655-d941518-Reviews-Magic_Castle-Los_Angeles_California.html;Check The Website for a Menu;$$$$;Los Angeles
Jorge's Mexican Restaurant;6051 South Bell Street;Amarillo, TX 79109-6618; Mexican, Southwestern, Vegetarian Friendly;4;111 reviews;+1 806-354-2241;https://www.tripadvisor.com//Restaurant_Review-g30165-d1504576-Reviews-Jorge_s_Mexican_Restaurant-Amarillo_Texas.html;http://jorgesmexican.com/index.php?page=menu;$$ - $$$;Amarillo
Ziziki's at The Star;6765 Winning Dr;Frisco, TX 75034-8162; Mediterranean, Greek, Italian;4.5;24 reviews;+1 972-377-2276;https://www.tripadvisor.com//Restaurant_Review-g55870-d13331697-Reviews-Ziziki_s_at_The_Star-Frisco_Texas.html;http://www.zizikis.com/menus;$$ - $$$;Frisco
The Attic;3441 E Broadway;Long Beach, CA 90803-5906; Cajun & Creole, American, Vegetarian Friendly;4.5;187 reviews;+1 562-433-0153;https://www.tripadvisor.com//Restaurant_Review-g32648-d3834363-Reviews-The_Attic-Long_Beach_California.html;http://www.theatticonbroadway.com/pages/menu;$$ - $$$;Long Beach
Del Posto;85 Tenth Avenue;New York City, NY 10011; Italian, Vegetarian Friendly, Vegan Options;4.5;1,653 reviews;+1 212-497-8090;https://www.tripadvisor.com//Restaurant_Review-g60763-d598053-Reviews-Del_Posto-New_York_City_New_York.html;Check The Website for a Menu;$$$$;New York City
Moore's Tavern & Restaurant;402 W Main St;Freehold, NJ 07728-2540; American, Bar, Pub;3.5;223 reviews;+1 732-863-0555;https://www.tripadvisor.com//Restaurant_Review-g46453-d1006513-Reviews-Moore_s_Tavern_Restaurant-Freehold_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Freehold
Fin Raw Bar and Kitchen;183 Glenridge Ave;Montclair, NJ 07042-3526; American, Seafood;4;153 reviews;+1 973-744-0068;https://www.tripadvisor.com//Restaurant_Review-g46637-d2441083-Reviews-Fin_Raw_Bar_and_Kitchen-Montclair_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Montclair
The Capital Grille;117 W 4th St;Austin, TX 78701-3914; American, Steakhouse, Gluten Free Options;4.5;240 reviews;+1 512-322-2005;https://www.tripadvisor.com//Restaurant_Review-g30196-d6621180-Reviews-The_Capital_Grille-Austin_Texas.html;Check The Website for a Menu;$$$$;Austin
The Cheesecake Factory;639 E Shaw Ave;Fresno, CA 93710-7729; American, Vegetarian Friendly, Vegan Options;4;364 reviews;+1 559-228-1400;https://www.tripadvisor.com//Restaurant_Review-g32414-d813700-Reviews-The_Cheesecake_Factory-Fresno_California.html;https://order.thecheesecakefactory.com/menu/fresno-ca;$$ - $$$;Fresno
